Season,Competition,Matchday,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Age
2022-23,Ligue 1,1,A,Paris Saint-Germain,Clermont Foot,00:05,CF,80,Left-footed shot,35
2022-23,Ligue 1,1,A,Paris Saint-Germain,Clermont Foot,00:05,CF,86,Left-footed shot,35
2022-23,Ligue 1,3,A,Paris Saint-Germain,LOSC Lille,01:07,AM,27,Right-footed shot,35
2022-23,UEFA Champions League,Group Stage,A,Paris Saint-Germain,Maccabi Haifa,01:03,SS,37,Left-footed shot,35
2022-23,Ligue 1,8,A,Paris Saint-Germain,Olympique Lyon,00:01,AM,5,Left-footed shot,35
2022-23,Ligue 1,9,H,Paris Saint-Germain,OGC Nice,02:01,AM,28,Direct free kick,35
2022-23,UEFA Champions League,Group Stage,A,Paris Saint-Germain,SL Benfica,01:01,AM,22,Left-footed shot,35
2022-23,Ligue 1,12,A,Paris Saint-Germain,AC Ajaccio,00:03,CF,78,Left-footed shot,35
2022-23,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Maccabi Haifa,07:02,SS,19,Left-footed shot,35
2022-23,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Maccabi Haifa,07:02,SS,44,Left-footed shot,35
2022-23,Ligue 1,13,H,Paris Saint-Germain,ESTAC Troyes,04:03,RW,55,Left-footed shot,35
2022-23,Ligue 1,18,H,Paris Saint-Germain,Angers SCO,02:00,AM,72,Right-footed shot,35
2022-23,Ligue 1,21,A,Paris Saint-Germain,Montpellier HSC,01:03,SS,72,Left-footed shot,35
2022-23,Ligue 1,22,H,Paris Saint-Germain,FC Toulouse,02:01,SS,58,Left-footed shot,35
2022-23,Ligue 1,24,H,Paris Saint-Germain,LOSC Lille,04:03,CF,90+5,Direct free kick,35
2022-23,Ligue 1,25,A,Paris Saint-Germain,Olympique Marseille,00:03,CF,29,Right-footed shot,35
2022-23,Ligue 1,26,H,Paris Saint-Germain,FC Nantes,04:02,CF,12,Left-footed shot,35
2022-23,Ligue 1,30,A,Paris Saint-Germain,OGC Nice,00:02,CF,26,Left-footed shot,35
2022-23,Ligue 1,31,H,Paris Saint-Germain,RC Lens,02:00,CF,40,Left-footed shot,35
2022-23,Ligue 1,37,A,Paris Saint-Germain,RC Strasbourg,01:01,CF,59,Left-footed shot,35
